band,start,end
http://dbpedia.org/resource/Bel_Canto_(band),<head>
http://dbpedia.org/resource/Bel_Canto_(band),<title>Error HTTP/1.1 404 File not found</title>
http://dbpedia.org/resource/Bel_Canto_(band),</head>
http://dbpedia.org/resource/Bel_Canto_(band),<body>
http://dbpedia.org/resource/Bel_Canto_(band),<h3>Error HTTP/1.1 404 File not found</h3><pre>
http://dbpedia.org/resource/Bel_Canto_(band),The requested URL was not found    URI  = '/sparql'
http://dbpedia.org/resource/Bel_Canto_(band),</pre></body></html>
http://dbpedia.org/resource/Umphrey's_McGee,"1997","1997"
http://dbpedia.org/resource/Floater_(band),"1993","1993"
http://dbpedia.org/resource/HIM_(Finnish_band),"1991","1993"
http://dbpedia.org/resource/Neutral_Milk_Hotel,"1989","1999"
http://dbpedia.org/resource/The_System_(band),"1982","1989"
http://dbpedia.org/resource/Chuck_Ragan,"1993","1993"
http://dbpedia.org/resource/The_Stanley_Brothers,"1946","1966"
http://dbpedia.org/resource/Altaria_(band),"2000","2016"
http://dbpedia.org/resource/The_Bar-Kays,"1966","1989"
http://dbpedia.org/resource/The_Slickee_Boys,"1975","1991"
http://dbpedia.org/resource/Five_Stairsteps,"1965","1976"
http://dbpedia.org/resource/The_Arrogant_Sons_of_Bitches,"1995","2004"
http://dbpedia.org/resource/Autopsia,"1978","1978"
http://dbpedia.org/resource/Sleeper_(band),"1993","1998"
http://dbpedia.org/resource/Lord_Belial,"1992","2009"
http://dbpedia.org/resource/Beastie_Boys,"1980","2012"
http://dbpedia.org/resource/Giant_(band),"1987","1992"
http://dbpedia.org/resource/Pitchshifter,"1989","2003"
http://dbpedia.org/resource/A_Tribe_Called_Quest,"1985","1998"
http://dbpedia.org/resource/Chumbawamba,"1980","2012"
http://dbpedia.org/resource/Red_Rider,"1975","1990"
http://dbpedia.org/resource/Gåte,"1999","2005"
http://dbpedia.org/resource/Kraan,"1970","1970"
http://dbpedia.org/resource/Cash_Money_Millionaires,"1996","2001"
http://dbpedia.org/resource/Orange_Juice_(band),"1979","1985"
http://dbpedia.org/resource/Van_der_Graaf_Generator,"1967","1972"
http://dbpedia.org/resource/Kenny_Rogers_and_The_First_Edition,"1967","1976"
http://dbpedia.org/resource/Bride_(band),"1983","2013"
