bands,artists,isActive,exitCount
504,4285,1.0,0.0
504,5174,0.0,1.0
504,5189,0.0,1.0
504,5601,0.0,1.0
504,8041,0.0,1.0
504,9133,0.0,1.0
504,9274,0.0,1.0
504,9301,1.0,0.0
504,10268,1.0,0.0
504,10906,0.0,1.0
505,77,1.0,0.0
505,1183,1.0,0.0
505,6353,1.0,0.0
505,10614,1.0,0.0
508,3798,1.0,0.0
508,5225,1.0,0.0
508,10320,1.0,0.0
508,10930,1.0,0.0
509,204,0.0,1.0
509,1319,0.0,1.0
509,1395,1.0,0.0
509,4015,1.0,0.0
509,4291,0.0,1.0
509,4952,0.0,1.0
509,5329,0.0,1.0
509,5456,0.0,1.0
509,10993,0.0,1.0
510,623,1.0,0.0
510,3227,1.0,0.0
510,3923,0.0,1.0
510,4775,0.0,1.0
510,6325,1.0,0.0
510,7841,0.0,1.0
510,8729,0.0,1.0
510,9596,0.0,1.0
510,9957,1.0,0.0
512,3147,0.0,1.0
512,3785,0.0,1.0
512,7361,0.0,2.0
512,11377,0.0,1.0
513,7941,1.0,0.0
514,3962,1.0,0.0
515,2078,1.0,0.0
515,3013,1.0,0.0
515,7847,0.0,1.0
515,11187,1.0,0.0
515,11348,1.0,0.0
516,726,1.0,0.0
516,3211,0.0,1.0
516,3340,0.0,1.0
516,6781,0.0,2.0
516,7505,0.0,1.0
516,7883,1.0,0.0
516,9135,1.0,0.0
517,911,1.0,0.0
517,7512,1.0,0.0
517,8686,1.0,0.0
517,9478,1.0,0.0
518,3202,1.0,0.0
518,3657,1.0,0.0
518,4070,0.0,1.0
518,10490,1.0,0.0
519,3520,1.0,0.0
519,6004,1.0,0.0
519,6847,1.0,0.0
519,7119,1.0,0.0
519,7317,1.0,0.0
519,7797,1.0,0.0
520,1814,1.0,0.0
520,6627,0.0,1.0
520,8934,0.0,1.0
520,10343,0.0,1.0
520,10924,1.0,0.0
520,11269,0.0,1.0
521,1123,0.0,1.0
521,2473,0.0,1.0
521,5477,0.0,1.0
521,8035,0.0,1.0
522,504,0.0,1.0
522,2099,1.0,0.0
522,7007,0.0,2.0
522,9053,0.0,1.0
522,9164,0.0,1.0
522,9691,0.0,1.0
522,9944,1.0,0.0
522,11311,1.0,0.0
524,5934,0.0,1.0
524,9767,1.0,0.0
525,2032,1.0,0.0
525,6405,1.0,0.0
525,10483,1.0,0.0
526,9266,1.0,0.0
526,11039,0.0,1.0
527,5449,1.0,0.0
527,6876,1.0,0.0
527,9077,1.0,0.0
528,4926,1.0,0.0
528,9334,1.0,0.0
529,4236,0.0,1.0
529,10442,0.0,1.0
532,7988,0.0,1.0
534,6167,0.0,1.0
534,11344,0.0,1.0
536,4540,1.0,0.0
536,4742,0.0,1.0
536,5793,0.0,1.0
536,7378,1.0,0.0
537,882,0.0,1.0
537,2397,0.0,2.0
537,8343,0.0,1.0
537,10260,0.0,1.0
546,9467,1.0,0.0
547,3837,0.0,1.0
547,6013,1.0,0.0
547,9481,1.0,0.0
548,640,0.0,1.0
548,1496,0.0,1.0
548,4626,0.0,1.0
548,7014,0.0,1.0
548,7995,0.0,1.0
548,9018,0.0,1.0
548,9484,0.0,1.0
548,9925,0.0,1.0
548,9944,0.0,1.0
548,10259,0.0,1.0
549,6226,1.0,0.0
549,7271,1.0,0.0
549,7715,1.0,0.0
549,8479,1.0,0.0
549,9451,1.0,0.0
550,5475,1.0,0.0
551,1004,1.0,0.0
551,1767,1.0,0.0
551,5339,0.0,1.0
551,6899,0.0,1.0
551,7558,1.0,0.0
551,9257,0.0,1.0
551,9576,0.0,1.0
551,10345,0.0,1.0
551,10965,0.0,1.0
551,11248,0.0,1.0
551,11294,1.0,0.0
552,6878,0.0,1.0
553,11032,1.0,0.0
553,11435,1.0,0.0
554,129,0.0,1.0
554,506,1.0,0.0
554,2577,1.0,0.0
554,4996,1.0,0.0
554,6344,1.0,0.0
554,7436,0.0,1.0
554,8379,0.0,1.0
554,9663,1.0,0.0
554,10703,1.0,0.0
555,2066,1.0,0.0
555,4999,1.0,0.0
555,6722,1.0,0.0
555,7652,1.0,0.0
555,11358,1.0,0.0
557,1647,0.0,1.0
557,1666,0.0,1.0
557,1885,0.0,1.0
557,1995,0.0,1.0
557,3478,0.0,1.0
557,6957,0.0,1.0
557,9017,0.0,1.0
558,475,0.0,1.0
558,1796,0.0,1.0
558,4120,0.0,1.0
558,5043,0.0,1.0
558,6846,0.0,1.0
558,7355,0.0,1.0
558,9930,0.0,1.0
559,1220,1.0,0.0
559,5698,0.0,1.0
560,4705,1.0,0.0
560,9676,1.0,0.0
560,10882,1.0,0.0
561,3607,1.0,0.0
561,4178,1.0,0.0
561,4674,0.0,1.0
561,6972,1.0,0.0
561,9197,0.0,1.0
562,377,0.0,1.0
562,1702,1.0,0.0
562,2043,1.0,0.0
562,5163,0.0,1.0
562,6474,0.0,1.0
562,8978,1.0,0.0
564,719,1.0,0.0
